branch,k,n,cal_rmse
pre,6.82,95,8.04905226974423
pre,6.83,95,8.048977580973764
pre,6.84,95,8.04890290994938
pre,6.8500000000000005,95,8.048828256662837
pre,6.86,95,8.048753621105893
pre,6.87,95,8.048679003270328
pre,6.88,95,8.048604403147912
pre,6.890000000000001,95,8.04852982073042
pre,6.9,95,8.04845525600964
pre,6.91,95,8.048380708977362
pre,6.92,95,8.04830617962537
pre,6.93,95,8.048231667945474
pre,6.94,95,8.048157173929464
pre,6.95,95,8.048082697569155
pre,6.96,95,8.048008238856356
pre,6.97,95,8.047933797782882
pre,6.98,95,8.047859374340556
pre,6.99,95,8.047784968521198
pre,7.0,95,8.047710580316648
pre,7.01,95,8.047636209718734
pre,7.0200000000000005,95,8.047561856719296
pre,7.03,95,8.047487521310183
pre,7.04,95,8.047413203483238
pre,7.05,95,8.047338903230319
pre,7.0600000000000005,95,8.04726462054328
pre,7.07,95,8.047190355413985
pre,7.08,95,8.047116107834308
pre,7.09,95,8.047041877796113
pre,7.1000000000000005,95,8.046967665291273
pre,7.11,95,8.046893470311684
pre,7.12,95,8.04681929284922
pre,7.13,95,8.046745132895778
pre,7.140000000000001,95,8.046670990443245
pre,7.15,95,8.046596865483533
pre,7.16,95,8.046522758008537
pre,7.17,95,8.04644866801017
pre,7.18,95,8.046374595480346
pre,7.19,95,8.046300540410979
pre,7.2,95,8.046226502793997
pre,7.21,95,8.046152482621327
pre,7.22,95,8.0460784798849
pre,7.23,95,8.046004494576648
pre,7.24,95,8.045930526688524
pre,7.25,95,8.04585657621246
pre,7.26,95,8.04578264314042
pre,7.2700000000000005,95,8.045708727464353
pre,7.28,95,8.045634829176215
pre,7.29,95,8.04556094826797
pre,7.3,95,8.045487084731596
pre,7.3100000000000005,95,8.045413238559062
pre,7.32,95,8.045339409742343
pre,7.33,95,8.045265598273424
pre,7.34,95,8.045191804144286
pre,7.3500000000000005,95,8.045118027346936
pre,7.36,95,8.045044267873354
pre,7.37,95,8.04497052571555
pre,7.38,95,8.044896800865528
pre,7.390000000000001,95,8.044823093315294
pre,7.4,95,8.044749403056866
pre,7.41,95,8.044675730082263
pre,7.42,95,8.044602074383507
pre,7.43,95,8.044528435952627
pre,7.44,95,8.044454814781657
pre,7.45,95,8.044381210862632
pre,7.46,95,8.044307624187592
pre,7.47,95,8.044234054748586
pre,7.48,95,8.044160502537665
pre,7.49,95,8.044086967546884
pre,7.5,95,8.044013449768304
pre,7.51,95,8.043939949193986
pre,7.5200000000000005,95,8.043866465815999
pre,7.53,95,8.043792999626417
pre,7.54,95,8.043719550617324
pre,7.55,95,8.043646118780792
pre,7.5600000000000005,95,8.043572704108916
pre,7.57,95,8.043499306593782
pre,7.58,95,8.043425926227489
pre,7.59,95,8.043352563002134
pre,7.6000000000000005,95,8.043279216909827
pre,7.61,95,8.043205887942673
pre,7.62,95,8.043132576092786
pre,7.63,95,8.043059281352287
pre,7.640000000000001,95,8.042986003713294
pre,7.65,95,8.042912743167943
pre,7.66,95,8.042839499708355
pre,7.67,95,8.042766273326672
pre,7.68,95,8.042693064015033
pre,7.69,95,8.042619871765584
pre,7.7,95,8.042546696570477
pre,7.71,95,8.042473538421861
pre,7.72,95,8.042400397311898
